"","ANO_BO","month","day_of_week","Period2","case_count","y","year","mes","dia","predict"
"190",2017,"abr","terça","pre_night",36,3.58351893845611,1,4,3,3.32253114023833
"191",2017,"abr","terça","night",62,4.12713438504509,1,4,3,3.85569317635286
"192",2017,"abr","terça","night_pm",155,5.04342511691925,1,4,3,4.79170865769232
"193",2017,"abr","quarta","night_am",38,3.63758615972639,1,4,4,3.48676560799529
"194",2017,"abr","quarta","pre_morning",16,2.77258872223978,1,4,4,3.03358265506445
"195",2017,"abr","quarta","morning",33,3.49650756146648,1,4,4,3.22776751008639
"196",2017,"abr","quarta","day_am",109,4.69134788222914,1,4,4,3.90520279636435
"197",2017,"abr","quarta","day_pm",102,4.62497281328427,1,4,4,4.00617314936194
"198",2017,"abr","quarta","pre_night",33,3.49650756146648,1,4,4,3.34998661072394
"199",2017,"abr","quarta","night",62,4.12713438504509,1,4,4,3.88314864683847
"200",2017,"abr","quarta","night_pm",146,4.98360662170834,1,4,4,4.81916412817793
"201",2017,"abr","quinta","night_am",23,3.13549421592915,1,4,5,3.5142210784809
"202",2017,"abr","quinta","pre_morning",29,3.36729582998647,1,4,5,3.06103812555006
"203",2017,"abr","quinta","morning",43,3.76120011569356,1,4,5,3.255222980572
"204",2017,"abr","quinta","day_am",86,4.45434729625351,1,4,5,3.93265826684997
"205",2017,"abr","quinta","day_pm",87,4.46590811865458,1,4,5,4.03362861984756
"206",2017,"abr","quinta","pre_night",27,3.29583686600433,1,4,5,3.37744208120956
"207",2017,"abr","quinta","night",64,4.15888308335967,1,4,5,3.91060411732408
"208",2017,"abr","quinta","night_pm",157,5.05624580534831,1,4,5,4.84661959866354
"209",2017,"abr","sexta","night_am",47,3.85014760171006,1,4,6,3.54167654896652
"210",2017,"abr","sexta","pre_morning",20,2.99573227355399,1,4,6,3.08849359603567
"211",2017,"abr","sexta","morning",39,3.66356164612965,1,4,6,3.28267845105761
"212",2017,"abr","sexta","day_am",50,3.91202300542815,1,4,6,3.96011373733558
"213",2017,"abr","sexta","day_pm",51,3.93182563272433,1,4,6,4.06108409033317
"214",2017,"abr","sexta","pre_night",32,3.46573590279973,1,4,6,3.40489755169517
"215",2017,"abr","sexta","night",59,4.07753744390572,1,4,6,3.93805958780969
"216",2017,"abr","sexta","night_pm",103,4.63472898822964,1,4,6,4.87407506914915
"217",2017,"abr","sábado","night_am",73,4.29045944114839,1,4,7,3.56913201945213
"218",2017,"abr","sábado","pre_morning",23,3.13549421592915,1,4,7,3.11594906652129
"219",2017,"abr","sábado","morning",33,3.49650756146648,1,4,7,3.31013392154322
"220",2017,"abr","sábado","day_am",46,3.8286413964891,1,4,7,3.98756920782119
"221",2017,"abr","sábado","day_pm",62,4.12713438504509,1,4,7,4.08853956081878
"222",2017,"abr","sábado","pre_night",30,3.40119738166216,1,4,7,3.43235302218078
"223",2017,"abr","sábado","night",61,4.11087386417331,1,4,7,3.9655150582953
"224",2017,"abr","sábado","night_pm",146,4.98360662170834,1,4,7,4.90153053963477
"225",2017,"mai","domingo","night_am",40,3.68887945411394,1,5,1,3.40949440503719
"226",2017,"mai","domingo","pre_morning",37,3.61091791264422,1,5,1,2.95631145210635
"227",2017,"mai","domingo","morning",34,3.52636052461616,1,5,1,3.15049630712828
"228",2017,"mai","domingo","day_am",24,3.17805383034795,1,5,1,3.82793159340625
"229",2017,"mai","domingo","day_pm",49,3.89182029811063,1,5,1,3.92890194640384
"230",2017,"mai","domingo","pre_night",33,3.49650756146648,1,5,1,3.27271540776584
"231",2017,"mai","domingo","night",56,4.02535169073515,1,5,1,3.80587744388036
"232",2017,"mai","domingo","night_pm",95,4.55387689160054,1,5,1,4.74189292521983
"233",2017,"mai","segunda","night_am",40,3.68887945411394,1,5,2,3.4369498755228
"234",2017,"mai","segunda","pre_morning",37,3.61091791264422,1,5,2,2.98376692259196
"235",2017,"mai","segunda","morning",25,3.2188758248682,1,5,2,3.17795177761389
"236",2017,"mai","segunda","day_am",75,4.31748811353631,1,5,2,3.85538706389186
"237",2017,"mai","segunda","day_pm",67,4.20469261939097,1,5,2,3.95635741688945
"238",2017,"mai","segunda","pre_night",26,3.25809653802148,1,5,2,3.30017087825145
"239",2017,"mai","segunda","night",68,4.21950770517611,1,5,2,3.83333291436598
"240",2017,"mai","segunda","night_pm",157,5.05624580534831,1,5,2,4.76934839570544
"241",2017,"mai","terça","night_am",19,2.94443897916644,1,5,3,3.46440534600841
"242",2017,"mai","terça","pre_morning",13,2.56494935746154,1,5,3,3.01122239307757
"243",2017,"mai","terça","morning",52,3.95124371858143,1,5,3,3.20540724809951
"244",2017,"mai","terça","day_am",97,4.57471097850338,1,5,3,3.88284253437748
"245",2017,"mai","terça","day_pm",95,4.55387689160054,1,5,3,3.98381288737507
"246",2017,"mai","terça","pre_night",43,3.76120011569356,1,5,3,3.32762634873707
"247",2017,"mai","terça","night",82,4.40671924726425,1,5,3,3.86078838485159
"248",2017,"mai","terça","night_pm",145,4.97673374242057,1,5,3,4.79680386619105
"249",2017,"mai","quarta","night_am",29,3.36729582998647,1,5,4,3.49186081649402
"250",2017,"mai","quarta","pre_morning",25,3.2188758248682,1,5,4,3.03867786356318
"251",2017,"mai","quarta","morning",54,3.98898404656427,1,5,4,3.23286271858512
"252",2017,"mai","quarta","day_am",110,4.70048036579242,1,5,4,3.91029800486309
"253",2017,"mai","quarta","day_pm",84,4.43081679884331,1,5,4,4.01126835786068
"254",2017,"mai","quarta","pre_night",28,3.3322045101752,1,5,4,3.35508181922268
"255",2017,"mai","quarta","night",84,4.43081679884331,1,5,4,3.8882438553372
"256",2017,"mai","quarta","night_pm",155,5.04342511691925,1,5,4,4.82425933667666
"257",2017,"mai","quinta","night_am",13,2.56494935746154,1,5,5,3.51931628697964
"258",2017,"mai","quinta","pre_morning",26,3.25809653802148,1,5,5,3.06613333404879
"259",2017,"mai","quinta","morning",52,3.95124371858143,1,5,5,3.26031818907073
"260",2017,"mai","quinta","day_am",78,4.35670882668959,1,5,5,3.9377534753487
"261",2017,"mai","quinta","day_pm",62,4.12713438504509,1,5,5,4.03872382834629
"262",2017,"mai","quinta","pre_night",33,3.49650756146648,1,5,5,3.38253728970829
"263",2017,"mai","quinta","night",84,4.43081679884331,1,5,5,3.91569932582281
"264",2017,"mai","quinta","night_pm",143,4.96284463025991,1,5,5,4.85171480716227
"265",2017,"mai","sexta","night_am",37,3.61091791264422,1,5,6,3.54677175746525
"266",2017,"mai","sexta","pre_morning",32,3.46573590279973,1,5,6,3.09358880453441
"267",2017,"mai","sexta","morning",28,3.3322045101752,1,5,6,3.28777365955634
"268",2017,"mai","sexta","day_am",58,4.06044301054642,1,5,6,3.96520894583431
